"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"66",67,74,2.61440173781004,1.98923414316727,0.251516000927553,0.39806218744324,1.19766796381287,2.11777049720617,3.49275923605318,6.52671947813785,7.72997750171127
"67",68,75,2.59975787992807,1.98926646367183,0.240534173106601,0.381058329587133,1.14894787368871,2.10197182806685,3.5336023669604,6.54645938748587,7.6499669122143
"68",69,76,2.54873233322347,1.98455073911079,0.221559323456466,0.347430776313791,1.10345315388672,2.00216566525522,3.47634370610134,6.49847509845997,7.68248099312079
"69",70,77,2.59771596702282,2.01620888228557,0.214336096490161,0.340363648466809,1.13189656615227,2.11878578170128,3.51707272294381,6.34774792132301,7.42967246928817
"70",71,78,2.57910451518739,2.03999157716756,0.215754780175005,0.332093508930798,1.09641210774502,2.07204757944693,3.54973274829502,6.55810327848231,7.6629576256088
"71",72,79,2.60844341044207,1.99584113586914,0.259248026229429,0.395897060761564,1.13947468683844,2.11064217435051,3.5760257709069,6.48464384808492,7.5234761908988
"72",73,80,2.61613340086801,1.99034022650113,0.258014988199836,0.35992336697751,1.12565126904345,2.11933245679435,3.62037222027703,6.45905943056303,7.59910599071749
"73",74,81,2.63109702607482,2.0010147157657,0.252766772055507,0.353068366412097,1.1751235164395,2.17249320432835,3.54781938246934,6.62666940019628,7.83638753632246
"74",75,82,2.56378851092864,1.94263197556177,0.243364656543787,0.392779391775263,1.14548400192729,2.10143770309718,3.48517650744832,6.31638883165402,7.57915965573479
"75",76,83,2.59079459941479,2.04124706978806,0.23188781775632,0.362762122923371,1.08697219374688,2.06813869736193,3.57037810385027,6.57078692392077,7.71912690589589
"76",77,84,2.56386327588227,2.03268139518329,0.222084170718343,0.345649277005782,1.08275657216241,2.10957986599228,3.45309549542663,6.45680250526116,7.90852419226393
"77",78,85,2.57748579050402,1.96392393456189,0.262348188740041,0.380598486914344,1.14868067563309,2.09499115995013,3.46854394507261,6.31427742878153,7.6730901489959
"78",79,86,2.64179908114331,2.11655818806761,0.258909577607473,0.353357185732471,1.12540947529474,2.10504818299191,3.57044854780314,6.60195002691891,8.16566241117422
"79",80,87,2.65215347715505,2.03376484605565,0.262887224692554,0.399526390372195,1.13010615229717,2.16587619451623,3.58883738251552,6.75584639635616,7.73856425934959
"80",81,88,2.607607173629,2.02840208785382,0.254872961358271,0.392151558564166,1.13480001652726,2.1063152947994,3.51613117365632,6.60247785120673,7.91000752309193
"81",82,89,2.54997420727421,1.86269887097753,0.262636136641511,0.387486719558562,1.13723174504318,2.11641451045655,3.50348811106546,6.08646389002953,7.17029406256926
"82",83,90,2.64691419621805,2.00427537985405,0.26071717491265,0.385832121178282,1.21857385310033,2.19281811363304,3.54128396773324,6.51674835405797,7.79432159666068
"83",84,91,2.58727550801563,2.01768633010608,0.232009551343926,0.359208720944674,1.11670474204243,2.10161311781236,3.4939671892673,6.43217250595067,7.62612418253873
"84",85,92,2.56911532760933,1.93941678581014,0.253872099879394,0.373186329989799,1.1300106225962,2.0872736848738,3.5216847142683,6.32859835007055,7.44471075777471
"85",86,93,2.6559249643861,2.07620181611669,0.233280591614979,0.351538378445096,1.17435116283433,2.15892876518798,3.6041868672336,6.74617228394677,8.13743103975137
"86",87,94,2.53366359576883,1.93351123159922,0.245655469141828,0.360343960470776,1.13364646898159,2.02245660859687,3.4391511614004,6.33513514068858,7.47722476573043
"87",88,95,190.067192713327,16.9233203666145,157.966495591021,162.48390509351,178.816440674933,189.667443919191,201.395329122534,219.053326519604,224.34861704648
"88",89,96,31.1296912139021,25.0018588170642,9.56116358287732,10.6447912741274,15.527169401755,22.2780770244734,39.2237296939256,78.556901061566,87.6233280431978
"89",90,97,7.31995762832565,4.12479155918138,3.57641011518072,3.77948742499063,4.71205724671497,6.07769305984865,8.68205715281225,14.2112283165125,15.6827352099195
"90",91,98,3.86950360045043,1.213430826636,2.47931798377519,2.58197932055487,3.01246228152962,3.56885280928799,4.42342316810406,5.99009737368075,6.55932312825163
"91",92,99,2.82368496111322,0.563415579156855,2.05224909176601,2.11163106975405,2.40268237507056,2.71923296383678,3.1526057824736,3.79738487200243,4.18436870303842
"92",93,100,2.25144659053697,0.328393646370559,1.73785721670126,1.8015901152704,2.00463907185632,2.21238454268521,2.45154147141413,2.84702656823444,2.97822594532467
"93",94,101,1.92091171780974,0.224832683811407,1.54797617599177,1.58612682492183,1.75665061794601,1.90387019147296,2.064076393431,2.31458148424356,2.39911424791223
"94",95,102,1.69906839595414,0.163779332547885,1.40750260544566,1.44938932260334,1.58269598651688,1.68660449518331,1.81055931704375,1.9746595158211,2.03346397181707
"95",96,103,0.765267943971084,0.0842369649779308,0.613047405691974,0.632229219207279,0.706881540581054,0.76226660432263,0.820967440192408,0.909802444565264,0.944173705767172
"96",97,104,0.752406431091309,0.0747198998939301,0.616686916958567,0.636261487571085,0.701114024095988,0.748881436922427,0.801163406132193,0.87839422557453,0.908342423561832
"97",98,105,0.785949288778002,0.0775985859157781,0.645357787287724,0.665911752112479,0.731527661879932,0.783676747843603,0.835615929844216,0.919643808195842,0.947224520834772
"98",99,106,0.814833955143955,0.081169104817705,0.662052767175691,0.683659194933112,0.759144470441384,0.81081785876814,0.870275289803599,0.951733365411715,0.977617839945496
"99",100,107,0.741699185680859,0.0782111459128454,0.590903989280727,0.612546259271852,0.688171526635765,0.740374808493978,0.793286173260296,0.873233109305518,0.898533927064155
"100",101,108,0.797733236663318,0.0820283626700643,0.646375630437148,0.664747668731778,0.741887614643909,0.796191974907527,0.851670495630781,0.933531191750389,0.966203556072682
"101",102,109,0.89816018800159,0.0887132957930533,0.7283985368915,0.754121006126768,0.83646756775758,0.896752754987411,0.956040131670175,1.04607217468105,1.07574671342325
"102",103,110,1.07600960141588,0.0984471141500489,0.896122894143893,0.918688333478509,1.00701105864167,1.07063520591017,1.14246936959911,1.24095111611747,1.27800068597097
"103",104,111,1.03689929847561,0.0917249577492274,0.865621354561638,0.892785937532862,0.972798365319505,1.03181958389902,1.09789620239467,1.19366661462083,1.22591576354676
"104",105,112,1.1154909179218,0.0964767407875427,0.938319437638418,0.964149956643427,1.05020142594919,1.10995308930855,1.17825283361058,1.28118275402936,1.31918769860475
"105",106,113,1.0855279366739,0.0950217261252843,0.913049741980786,0.934513548751206,1.01971386636356,1.08288176770413,1.1474624121374,1.24721889468389,1.2812655853195
"106",107,114,0.992772578392258,0.0900462331436932,0.826528376538517,0.853498708799833,0.930171307868794,0.990136860939426,1.05062674721675,1.14691046436722,1.17756941147945
"107",108,115,1.01574945050614,0.0918355034476268,0.844880960112056,0.871619075601386,0.950855930186141,1.0122234319185,1.07537776890064,1.17396589666048,1.20543389204039
"108",109,116,1.0627440616526,0.0945768236671332,0.891651490657104,0.911647129413105,0.998783382951349,1.05691193647657,1.1247902551219,1.22371436075003,1.25892203829536
"109",110,117,1.02166346078178,0.0893511757407622,0.854474460252707,0.879375949737642,0.959341009088728,1.01819383185058,1.0825055420396,1.17405789758176,1.20419583257943
"110",111,118,0.996225097795791,0.0880526171379213,0.836553525500813,0.857871091192643,0.93603817903999,0.993732867864053,1.05132357942795,1.14921606185996,1.17807836052627
"111",112,119,1.1633487164903,0.0975718642378306,0.974446508079296,1.01081524177383,1.09671434165496,1.16088938831622,1.22485127780532,1.33174903389632,1.36996057724844
"112",113,120,1.36831457144157,0.103468985613191,1.17247848490887,1.20283360821169,1.29596354339536,1.36733399549703,1.4352156844307,1.54509397574255,1.57945458606152
"113",114,121,1.66307940473426,0.114525710559004,1.45126036514784,1.48129548852937,1.58446064034521,1.65995858781639,1.73960430795207,1.85041257084327,1.89932666312926
"114",115,122,1.72928875550029,0.124565832310656,1.50104077937757,1.53487299346674,1.64166221962391,1.72477674899019,1.81335547407131,1.94448869179849,1.98688983360464
"115",116,123,1.91470477081096,0.142526573397091,1.65837158987888,1.68954174750867,1.81408028137967,1.90857077233151,2.00791663050385,2.15129195877149,2.21072764604191
"116",117,124,1.69701290001603,0.136830289714949,1.4507395620836,1.48561908119283,1.59393467128751,1.69182247099388,1.7891776649445,1.93536252969704,1.97644312679995
