"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"39",40,47,2.59856279013723,2.02830659989947,0.223167139833801,0.359932029565803,1.10216247106067,2.08342309829822,3.55225987230166,6.51010705791891,7.63897773501174
"40",41,48,2.56322367643071,1.98746027544819,0.246975278298087,0.364736109630291,1.12860976819035,2.05342181755646,3.4326135475639,6.48111440485288,7.73590726105373
"41",42,49,2.63389282215108,2.06391353415564,0.2370639882966,0.360009461527325,1.15986498293493,2.11042538009086,3.55395763984092,6.55248537663664,8.15100704529127
"42",43,50,2.58890147119493,1.98404554724427,0.205920171679752,0.356457556455994,1.13575753975069,2.09147277848486,3.59115384185493,6.48956986892009,7.44727837713503
"43",44,51,2.60193341509551,2.00228075183847,0.22140575461072,0.355279370020533,1.11560339651077,2.13097881616035,3.55109207195559,6.4834082180631,7.67915346057745
"44",45,52,2.52840985026371,1.99108610361699,0.245413540916942,0.362743619885966,1.06412278195443,2.02383079778831,3.42067369729603,6.39152191628692,7.71019144855865
"45",46,53,2.60874885522909,2.02903748617304,0.242875547486975,0.382121813804508,1.14400174976506,2.06401970084493,3.56156633011983,6.59290308458332,7.82454775816162
"46",47,54,2.61226845397601,2.0158428721851,0.256437846192679,0.373053756152518,1.14983458738918,2.15239036726175,3.54394030045681,6.43261650121405,7.66565927530923
"47",48,55,2.62778373717761,1.98510618242752,0.232496063728767,0.36175673667608,1.17491230947944,2.12353562494922,3.59351006625183,6.44927447292667,7.49626502902645
"48",49,56,2.58312911369578,1.95718573718111,0.245349593476806,0.371667393812624,1.12308442726964,2.11226710124529,3.55146092894339,6.45742547208713,7.52129614827154
"49",50,57,2.63304661696854,2.02167663931655,0.274836737057736,0.410402140927879,1.13043404870141,2.13045387078974,3.61413750344256,6.52655503837465,7.772688447874
"50",51,58,2.56977606280983,1.9546062451394,0.240478755575137,0.382546726352499,1.14622862118558,2.0900876801042,3.52545352533856,6.30531043995025,7.22202819143387
"51",52,59,2.61077638333376,1.99684633832349,0.241656647218767,0.361671850904461,1.18225019229501,2.11036616590039,3.60599182257469,6.45173160910307,7.68655475305941
"52",53,60,2.58958268574029,1.93577590816984,0.229497147500534,0.348435197161633,1.18330447585481,2.13261846146945,3.4862929713367,6.37802960838299,7.62776144823731
